"Message","Longitude","Latitude","Island"
"#IoSTSHelp Medical supplies are gone. Can't treat wounds or illnesses.",-27.3533,14.9813,"Justitia"
"#IoSTSHelp We're running out of food and have no idea when help will arrive.",-27.2667,14.7918,"Justitia"
"#IoSTSHelp We have a medical emergency and no way to get help. No fuel for cooking or heating. Conditions are worsening.",-27.4072,14.7502,"Justitia"
"#IoSTSHelp There's nothing left to eat. Everyone is hungry and exhausted.",-27.3238,14.763,"Justitia"
"#IoSTSHelp Out of fuel. We can't run the generator anymore. We lost everything, including our shelter. Nowhere to go. We've gone two days without a proper meal. People are getting weak.",-27.2019,14.5026,"Justitia"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. Shelter is damaged beyond use. We're trying to stay dry and safe. There's nothing left to eat. Everyone is hungry and exhausted.",-27.7059,14.7138,"Justitia"
"#IoSTSHelp We have a medical emergency and no way to get help. There's nothing left to eat. Everyone is hungry and exhausted.",-27.3203,14.6839,"Justitia"
"#IoSTSHelp Medical supplies are gone. Can't treat wounds or illnesses. We lost everything, including our shelter. Nowhere to go. We've gone two days without a proper meal. People are getting weak.",-27.6089,14.7191,"Justitia"
"#IoSTSHelp Out of fuel. We can't run the generator anymore. Food supplies are completely gone. We need assistance urgently. Shelter is damaged beyond use. We're trying to stay dry and safe.",-27.3505,14.3562,"Justitia"
"#IoSTSHelp Running dangerously low on fuel. Trying to conserve what's left. Still waiting for help—someone needs urgent medical care.",-27.7742,14.7622,"Justitia"
"#IoSTSHelp We have a medical emergency and no way to get help.",-27.2719,14.6782,"Justitia"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. Out of fuel. We can't run the generator anymore. Food supplies are completely gone. We need assistance urgently.",NA,NA,"Justitia"
"#IoSTSHelp Our shelter didn't survive the storm. We're exposed to the elements. Running dangerously low on fuel. Trying to conserve what's left.",-27.1851,14.2864,"Justitia"
"Lots of damage in the area, but thankful everyone I know is safe. More updates will follow as information becomes available.",-27.3135,14.4802,"Justitia"
"#IoSTSHelp No food left. We're trying to ration what little we have. Shelter is damaged beyond use. We're trying to stay dry and safe.",-27.9027,14.5665,"Justitia"
"Volunteers are showing up in huge numbers to help with recovery efforts. We're in this together, let's support one another.",-27.2075,14.2953,"Justitia"
"Volunteers are showing up in huge numbers to help with recovery efforts. It's going to take time, but recovery is underway.",-27.4232,14.4653,"Justitia"
"Road closures are in effect due to debris and fallen trees from the storm. Weather teams did a great job tracking this storm.",-27.5015,14.8616,"Justitia"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. There's nothing left to eat. Everyone is hungry and exhausted.",NA,NA,"Justitia"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care. We lost everything, including our shelter. Nowhere to go. Can't reach anyone because we’re out of fuel and power.",-27.4634,14.9003,"Justitia"
"#IoSTSHelp We have a medical emergency and no way to get help. Food supplies are completely gone. We need assistance urgently.",-27.3973,15.0038,"Justitia"
"Volunteers are showing up in huge numbers to help with recovery efforts. We're in this together, let's support one another.",-27.2034,14.5325,"Justitia"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. We lost everything, including our shelter. Nowhere to go.",-27.5704,14.7744,"Justitia"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply.",-27.6703,14.7269,"Justitia"
"#IoSTSHelp We have a medical emergency and no way to get help. No food left. We're trying to ration what little we have.",-27.2017,14.6748,"Justitia"
"#IoSTSHelp Our shelter didn't survive the storm. We're exposed to the elements. No access to medicine or care. We're worried someone might not make it.",-27.23,14.9806,"Justitia"
"#IoSTSHelp We lost everything, including our shelter. Nowhere to go. Still waiting for help—someone needs urgent medical care.",-27.2345,14.6182,"Justitia"
"#IoSTSHelp Can't reach anyone because we’re out of fuel and power. No roof over our heads. Sleeping outside since the storm hit. We're running out of food and have no idea when help will arrive.",-27.4544,14.9043,"Justitia"
"#IoSTSHelp We have a medical emergency and no way to get help. Shelter is damaged beyond use. We're trying to stay dry and safe.",-27.2052,14.919,"Justitia"
"#IoSTSHelp We're running out of food and have no idea when help will arrive. We have a medical emergency and no way to get help. Our shelter didn't survive the storm. We're exposed to the elements.",-27.41,14.8864,"Justitia"
"#IoSTSHelp Can't reach anyone because we’re out of fuel and power. No food left. We're trying to ration what little we have.",-27.234,14.2328,"Justitia"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. Can't reach anyone because we’re out of fuel and power. We're running out of food and have no idea when help will arrive.",-27.2086,14.7234,"Justitia"
"#IoSTSHelp We're running out of food and have no idea when help will arrive. We lost everything, including our shelter. Nowhere to go.",-27.2597,14.7664,"Justitia"
"#IoSTSHelp We lost everything, including our shelter. Nowhere to go. There's nothing left to eat. Everyone is hungry and exhausted.",NA,NA,"Justitia"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply.",-27.1988,14.2266,"Justitia"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care.",-27.405,14.8054,"Justitia"
"#IoSTSHelp We're running out of food and have no idea when help will arrive. Our shelter didn't survive the storm. We're exposed to the elements. No fuel for cooking or heating. Conditions are worsening.",-27.8505,14.5468,"Justitia"
"#IoSTSHelp No food left. We're trying to ration what little we have. No access to medicine or care. We're worried someone might not make it. Can't reach anyone because we’re out of fuel and power.",-27.4968,14.9384,"Justitia"
"#IoSTSHelp Food supplies are completely gone. We need assistance urgently. Running dangerously low on fuel. Trying to conserve what's left. Someone here is badly injured. We need medical attention urgently.",-27.278,14.3737,"Justitia"
"#IoSTSHelp No fuel for cooking or heating. Conditions are worsening. Our shelter didn't survive the storm. We're exposed to the elements.",-27.6886,14.7734,"Justitia"
"Schools will remain closed tomorrow as cleanup continues. It's going to take time, but recovery is underway.",-27.421,14.3032,"Justitia"
"Power crews are working hard to restore electricity after the storm. Hope everyone is staying safe and checking in on each other.",-27.3536,14.7629,"Justitia"
"Power crews are working hard to restore electricity after the storm. Hope everyone is staying safe and checking in on each other.",-27.219,14.2062,"Justitia"
"#IoSTSHelp No fuel for cooking or heating. Conditions are worsening. Our shelter didn't survive the storm. We're exposed to the elements.",-27.3871,14.7512,"Justitia"
"Volunteers are showing up in huge numbers to help with recovery efforts. It's going to take time, but recovery is underway.",-27.1863,14.7328,"Justitia"
"Lots of damage in the area, but thankful everyone I know is safe. More updates will follow as information becomes available.",-27.5147,14.4568,"Justitia"
"#IoSTSHelp Out of fuel. We can't run the generator anymore. We lost everything, including our shelter. Nowhere to go. Someone here is badly injured. We need medical attention urgently.",-27.4164,14.7489,"Justitia"
"#IoSTSHelp There's nothing left to eat. Everyone is hungry and exhausted. We have a medical emergency and no way to get help. No fuel for cooking or heating. Conditions are worsening.",-27.9037,14.5864,"Justitia"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care. Our shelter didn't survive the storm. We're exposed to the elements.",-27.2194,14.4985,"Justitia"
"Volunteers are showing up in huge numbers to help with recovery efforts. Remember to check on neighbors, especially the elderly.",-27.8215,14.6292,"Justitia"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. Shelter is damaged beyond use. We're trying to stay dry and safe.",-27.3744,14.4536,"Justitia"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit. We have a medical emergency and no way to get help. Food supplies are completely gone. We need assistance urgently.",-27.2341,14.4024,"Justitia"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently.",-27.2415,14.3664,"Justitia"
"Volunteers are showing up in huge numbers to help with recovery efforts. Shelters remain open to those in need.",-27.2723,14.7205,"Justitia"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. No roof over our heads. Sleeping outside since the storm hit.",-27.4571,14.8623,"Justitia"
"Volunteers are showing up in huge numbers to help with recovery efforts. Weather teams did a great job tracking this storm.",-26.7583,15.7111,"Paxora"
"#IoSTSHelp Food supplies are completely gone. We need assistance urgently. Still waiting for help—someone needs urgent medical care. No roof over our heads. Sleeping outside since the storm hit.",-27.201,15.8957,"Paxora"
"Storm coverage continues—stay tuned for updates and official instructions. Hope everyone is staying safe and checking in on each other.",-27.2846,16.054,"Paxora"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. Shelter is damaged beyond use. We're trying to stay dry and safe.",-26.7955,15.9995,"Paxora"
"#IoSTSHelp There's nothing left to eat. Everyone is hungry and exhausted.",-27.0463,15.8331,"Paxora"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit.",-27.0629,16.1544,"Paxora"
"#IoSTSHelp We've gone two days without a proper meal. People are getting weak.",NA,NA,"Paxora"
"#IoSTSHelp There's nothing left to eat. Everyone is hungry and exhausted. Medical supplies are gone. Can't treat wounds or illnesses.",-26.9679,15.5461,"Paxora"
"#IoSTSHelp Our shelter didn't survive the storm. We're exposed to the elements. There's nothing left to eat. Everyone is hungry and exhausted. No access to medicine or care. We're worried someone might not make it.",-27.0257,15.8554,"Paxora"
"#IoSTSHelp Can't reach anyone because we’re out of fuel and power. We lost everything, including our shelter. Nowhere to go. No food left. We're trying to ration what little we have.",-26.9407,15.9721,"Paxora"
"#IoSTSHelp No fuel for cooking or heating. Conditions are worsening. There's nothing left to eat. Everyone is hungry and exhausted. Still waiting for help—someone needs urgent medical care.",-26.98,15.8696,"Paxora"
"#IoSTSHelp Running dangerously low on fuel. Trying to conserve what's left. No access to medicine or care. We're worried someone might not make it. No roof over our heads. Sleeping outside since the storm hit.",-27.261,15.743,"Paxora"
"#IoSTSHelp No fuel for cooking or heating. Conditions are worsening.",-26.6506,15.651,"Paxora"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit.",-26.7881,15.995,"Paxora"
"#IoSTSHelp Medical supplies are gone. Can't treat wounds or illnesses. Still no place to sleep. We’re making do with broken walls and tarps.",-27.1244,15.9201,"Paxora"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. Our shelter didn't survive the storm. We're exposed to the elements. Running dangerously low on fuel. Trying to conserve what's left.",-26.8377,15.7237,"Paxora"
"Community centers are opening for anyone in need after the storm. We're in this together, let's support one another.",-26.6764,15.5847,"Paxora"
"Road closures are in effect due to debris and fallen trees from the storm. Stay off the roads unless absolutely necessary.",-26.7788,15.9761,"Paxora"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care.",-27.2872,15.6629,"Paxora"
"#IoSTSHelp Food supplies are completely gone. We need assistance urgently. Still no place to sleep. We’re making do with broken walls and tarps.",-26.7564,15.6545,"Paxora"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care. Fuel is completely gone, and we're cut off from any resupply. No roof over our heads. Sleeping outside since the storm hit.",-26.6314,15.7007,"Paxora"
"Community centers are opening for anyone in need after the storm. Remember to check on neighbors, especially the elderly.",-27.1612,15.9171,"Paxora"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. Can't reach anyone because we’re out of fuel and power.",-27.0875,16.3312,"Paxora"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. Out of fuel. We can't run the generator anymore. No roof over our heads. Sleeping outside since the storm hit.",-27.041,15.8524,"Paxora"
"#IoSTSHelp We've gone two days without a proper meal. People are getting weak. No access to medicine or care. We're worried someone might not make it. No fuel for cooking or heating. Conditions are worsening.",-26.9413,15.6722,"Paxora"
"Floodwaters are starting to recede. Please stay cautious and avoid driving through water. Let’s keep the community spirit strong.",-27.1997,15.9513,"Paxora"
"The storm has passed, and cleanup efforts are beginning across the region. Remember to check on neighbors, especially the elderly.",NA,NA,"Paxora"
"Schools will remain closed tomorrow as cleanup continues. Hope everyone is staying safe and checking in on each other.",-27.2844,16.1849,"Paxora"
"Volunteers are showing up in huge numbers to help with recovery efforts. Remember to check on neighbors, especially the elderly.",-27.1683,16.2474,"Paxora"
"The storm has passed, and cleanup efforts are beginning across the region. Stay off the roads unless absolutely necessary.",-26.8789,16.0046,"Paxora"
"Schools will remain closed tomorrow as cleanup continues. Shelters remain open to those in need.",-27.0651,16.0686,"Paxora"
"Schools will remain closed tomorrow as cleanup continues. Please follow official channels for updates.",-26.9152,15.6124,"Paxora"
"#IoSTSHelp Our shelter didn't survive the storm. We're exposed to the elements. No access to medicine or care. We're worried someone might not make it.",-26.8429,15.6835,"Paxora"
"#IoSTSHelp Food supplies are completely gone. We need assistance urgently. No fuel for cooking or heating. Conditions are worsening. Our shelter didn't survive the storm. We're exposed to the elements.",-26.4846,15.5471,"Paxora"
